Journal Name,Journal Type,Journal Abbreviation,ISSN,eISSN,Journal Website,Publisher Name,Imprint Name,Included in CAUL OA agreement?,Included in CAUL discount scheme?,Notes,Last Updated
Journal of Historical Research in Music Education,Hybrid,,1536-6006,2328-2525,https://journals.sagepub.com/loi/JHR,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Holistic Nursing,Hybrid,,0898-0101,1552-5724,https://journals.sagepub.com/loi/JHN,Sage,,Yes,No,Premier R&P/STM,2024-02-21
Journal of Hospitality & Tourism Cases,Hybrid,,,2164-9987,https://journals.sagepub.com/loi/HTC,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Hospitality & Tourism Research,Hybrid,,1096-3480,1557-7554,https://journals.sagepub.com/loi/JHT,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Human Lactation,Hybrid,,0890-3344,1552-5732,https://journals.sagepub.com/loi/JHL,Sage,,Yes,No,Premier R&P/STM,2024-02-21
Journal of Human Values ,Hybrid,,0971-6858,0973-0737,https://journals.sagepub.com/loi/JHV,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Humanistic Psychology,Hybrid,,0022-1678,1552-650X,https://journals.sagepub.com/loi/JHP,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Indian Association for Child and Adolescent Mental Health,Gold OA,,0973-1342,2754-6349,https://journals.sagepub.com/loi/IAM,Sage,,No,Yes,Gold OA - 20% discount,2024-02-21
Journal of Indian Orthodontic Society,Gold OA,,0301-5742,0974-9098,https://journals.sagepub.com/loi/JIO,Sage,,No,Yes,Gold OA - 20% discount,2024-02-21
Journal of Industrial Relations,Hybrid,,0022-1856,1472-9296,https://journals.sagepub.com/loi/JIR,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Infection Prevention,Hybrid,,1757-1774,1757-1782,https://journals.sagepub.com/loi/BJI,Sage,,Yes,No,Premier R&P/STM,2024-02-21
Journal of Information Science,Hybrid,,0165-5515,1741-6485,https://journals.sagepub.com/loi/JIS,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Information Technology,Hybrid,,0268-3962,1466-4437,https://journals.sagepub.com/loi/JIN,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Information Technology Teaching Cases,Hybrid,,2043-8869,2043-8869,https://journals.sagepub.com/loi/TTC,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Infrastructure Development,Hybrid,,0974-9306,0975-5969,https://journals.sagepub.com/loi/JOI,Sage,,Yes,No,Premier R&P,2024-02-21
Journal of Intellectual Disabilities,Hybrid,,1744-6295,1744-6309,https://journals.sagepub.com/loi/JLD,Sage,,Yes,No,Premier R&P/STM,2024-02-21
Journal of Intelligent Material Systems and Structures,Hybrid,,1045-389X,1530-8138,https://journals.sagepub.com/loi/JIM,Sage,,Yes,No,Premier R&P/STM,2024-02-21
