Journal Name,Journal Type,Journal Abbreviation,ISSN,eISSN,Journal Website,Publisher Name,Imprint Name,Included in CAUL OA agreement?,Included in CAUL discount scheme?,Notes,Last Updated
International Journal of Technology and Design Education,,,0957-7572,1573-1804,https://link.springer.com/journal/10798,Springer Nature,Springer,Yes,,,2024-01-24
International Journal of Theoretical Physics,,,0020-7748,1572-9575,https://link.springer.com/journal/10773,Springer Nature,Springer,Yes,,,2024-01-24
International Journal of Thermophysics,,,0195-928X,1572-9567,https://link.springer.com/journal/10765,Springer Nature,Springer,Yes,,,2024-01-24
International Journal of Tropical Insect Science,,,,1742-7592,https://link.springer.com/journal/42690,Springer Nature,Springer,Yes,,,2024-01-24
International Journal of Wireless Information Networks,,,1068-9605,1572-8129,https://link.springer.com/journal/10776,Springer Nature,Springer,Yes,,,2024-01-24
International Microbiology,,,1139-6709,1618-1905,https://link.springer.com/journal/10123,Springer Nature,Springer,Yes,,,2024-01-24
International Nano Letters,,,2008-9295,2228-5326,https://link.springer.com/journal/40089,Springer Nature,Springer,Yes,,,2024-01-24
International Ophthalmology,,,0165-5701,1573-2630,https://link.springer.com/journal/10792,Springer Nature,Springer,Yes,,,2024-01-24
International Orthopaedics,,,0341-2695,1432-5195,https://link.springer.com/journal/264,Springer Nature,Springer,Yes,,,2024-01-24
International Politics,,,1384-5748,1740-3898,https://link.springer.com/journal/41311,Springer Nature,Palgrave Macmillan,Yes,,,2024-01-24
International Review of Economics,,,1865-1704,1863-4613,https://link.springer.com/journal/12232,Springer Nature,Springer,Yes,,,2024-01-24
International Review of Education,,,0020-8566,1573-0638,https://link.springer.com/journal/11159,Springer Nature,Springer,Yes,,,2024-01-24
International Review on Public and Nonprofit Marketing,,,1865-1984,1865-1992,https://link.springer.com/journal/12208,Springer Nature,Springer,Yes,,,2024-01-24
The International Sports Law Journal,,,1567-7559,2213-5154,https://link.springer.com/journal/40318,Springer Nature,Springer,Yes,,,2024-01-24
International Tax and Public Finance,,,0927-5940,1573-6970,https://link.springer.com/journal/10797,Springer Nature,Springer,Yes,,,2024-01-24
International Urogynecology Journal,,,0937-3462,1433-3023,https://link.springer.com/journal/192,Springer Nature,Springer,Yes,,,2024-01-24
International Urology and Nephrology,,,0301-1623,1573-2584,https://link.springer.com/journal/11255,Springer Nature,Springer,Yes,,,2024-01-24
Inventiones mathematicae,,,0020-9910,1432-1297,https://link.springer.com/journal/222,Springer Nature,Springer,Yes,,,2024-01-24
Investigational New Drugs,,,0167-6997,1573-0646,https://link.springer.com/journal/10637,Springer Nature,Springer,Yes,,,2024-01-24
Ionics,,,0947-7047,1862-0760,https://link.springer.com/journal/11581,Springer Nature,Springer,Yes,,,2024-01-24
Iran Journal of Computer Science,,,2520-8438,2520-8446,https://link.springer.com/journal/42044,Springer Nature,Springer,Yes,,,2024-01-24
Iranian Journal of Science,,,2731-8095,2731-8109,https://link.springer.com/journal/40995,Springer Nature,Springer,Yes,,,2024-01-24
"Iranian Journal of Science and Technology, Transactions of Civil Engineering",,,2228-6160,2364-1843,https://link.springer.com/journal/40996,Springer Nature,Springer,Yes,,,2024-01-24
"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",,,2228-6179,2364-1827,https://link.springer.com/journal/40998,Springer Nature,Springer,Yes,,,2024-01-24
"Iranian Journal of Science and Technology, Transactions of Mechanical Engineering",,,2228-6187,2364-1835,https://link.springer.com/journal/40997,Springer Nature,Springer,Yes,,,2024-01-24
Iranian Polymer Journal,,,1026-1265,1735-5265,https://link.springer.com/journal/13726,Springer Nature,Springer,Yes,,,2024-01-24
Irish Journal of Medical Science (1971 -),,,0021-1265,1863-4362,https://link.springer.com/journal/11845,Springer Nature,Springer,Yes,,,2024-01-24
Irish Veterinary Journal,,,,2046-0481,https://link.springer.com/journal/13620,Springer Nature,BioMed Central,No,,,2024-01-24
Irrigation Science,,,0342-7188,1432-1319,https://link.springer.com/journal/271,Springer Nature,Springer,Yes,,,2024-01-24
Israel Journal of Health Policy Research,,,,2045-4015,https://link.springer.com/journal/13584,Springer Nature,BioMed Central,No,,,2024-01-24
Israel Journal of Mathematics,,,0021-2172,1565-8511,https://link.springer.com/journal/11856,Springer Nature,Hebrew University Magnes Press,Yes,,,2024-01-24
ISSS Journal of Micro and Smart Systems,,,2509-7989,2509-7997,https://link.springer.com/journal/41683,Springer Nature,Springer,Yes,,,2024-01-24
IST International Surface Technology,,,1865-4827,2192-8703,https://link.springer.com/journal/35724,Springer Nature,Springer Vieweg,No,,,2024-01-24
Italian Economic Journal,,,2199-322X,2199-3238,https://link.springer.com/journal/40797,Springer Nature,Springer,Yes,,,2024-01-24
Italian Journal of Marketing,,,2662-3323,2662-3331,https://link.springer.com/journal/43039,Springer Nature,Springer,Yes,,,2024-01-24
Italian Journal of Pediatrics,,,,1824-7288,https://link.springer.com/journal/13052,Springer Nature,BioMed Central,No,,,2024-01-24
"Izvestiya, Atmospheric and Oceanic Physics",,,0001-4338,1555-628X,https://link.springer.com/journal/11485,Springer Nature,Pleiades Publishing,No,,,2024-01-24
"Izvestiya, Physics of the Solid Earth",,,1069-3513,1555-6506,https://link.springer.com/journal/11486,Springer Nature,Pleiades Publishing,No,,,2024-01-24
JA Clinical Reports,,,,2363-9024,https://link.springer.com/journal/40981,Springer Nature,Springer,No,,,2024-01-24
Jahresbericht der Deutschen Mathematiker-Vereinigung,,,0012-0456,1869-7135,https://link.springer.com/journal/13291,Springer Nature,Springer,Yes,,,2024-01-24
Japan Journal of Industrial and Applied Mathematics,,,0916-7005,1868-937X,https://link.springer.com/journal/13160,Springer Nature,Springer,Yes,,,2024-01-24
The Japanese Economic Review,,,1352-4739,1468-5876,https://link.springer.com/journal/42973,Springer Nature,Springer,Yes,,,2024-01-24
Japanese Journal of Mathematics,,,0289-2316,1861-3624,https://link.springer.com/journal/11537,Springer Nature,Springer,No,,,2024-01-24
Japanese Journal of Ophthalmology,,,0021-5155,1613-2246,https://link.springer.com/journal/10384,Springer Nature,Springer,Yes,,,2024-01-24
Japanese Journal of Radiology,,,1867-1071,1867-108X,https://link.springer.com/journal/11604,Springer Nature,Springer,Yes,,,2024-01-24
Japanese Journal of Statistics and Data Science,,,2520-8756,2520-8764,https://link.springer.com/journal/42081,Springer Nature,Springer,Yes,,,2024-01-24
JBIC Journal of Biological Inorganic Chemistry,,,0949-8257,1432-1327,https://link.springer.com/journal/775,Springer Nature,Springer,Yes,,,2024-01-24
JETP Letters,,,0021-3640,1090-6487,https://link.springer.com/journal/11448,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Jewish History,,,0334-701X,1572-8579,https://link.springer.com/journal/10835,Springer Nature,Springer,Yes,,,2024-01-24
Jindal Global Law Review,,,0975-2498,2364-4869,https://link.springer.com/journal/41020,Springer Nature,Springer,Yes,,,2024-01-24
JMST Advances,,,2524-7905,2524-7913,https://link.springer.com/journal/42791,Springer Nature,"Korean Society of Mechanical Engineers, co-published with Springer",Yes,,,2024-01-24
JOM,,,1047-4838,1543-1851,https://link.springer.com/journal/11837,Springer Nature,Springer,Yes,,,2024-01-24
JOT Journal für Oberflächentechnik,,,0940-8789,2192-869X,https://link.springer.com/journal/35144,Springer Nature,Springer Vieweg,No,,,2024-01-24
The Journal of the Astronautical Sciences,,,0021-9142,2195-0571,https://link.springer.com/journal/40295,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Analysis,,,0971-3611,2367-2501,https://link.springer.com/journal/41478,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Antibiotics,,,0021-8820,1881-1469,https://link.springer.com/journal/41429,Springer Nature,Springer Nature,Yes,,,2024-01-24
The Journal of Basic and Applied Zoology,,,,2090-990X,https://link.springer.com/journal/41936,Springer Nature,Springer,No,,,2024-01-24
The Journal of Behavioral Health Services & Research,,,1094-3412,2168-6793,https://link.springer.com/journal/11414,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Chinese Sociology,,,,2198-2635,https://link.springer.com/journal/40711,Springer Nature,Springer,No,,,2024-01-24
The Journal of Comparative Germanic Linguistics,,,1383-4924,1572-8552,https://link.springer.com/journal/10828,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of East Asian Philosophy,,,2730-5406,2730-5414,https://link.springer.com/journal/43493,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Economic Inequality,,,1569-1721,1573-8701,https://link.springer.com/journal/10888,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Ethics,,,1382-4554,1572-8609,https://link.springer.com/journal/10892,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Frailty & Aging,,,,2273-4309,https://link.springer.com/journal/42415,Springer Nature,Serdi-Editions,Yes,,,2024-01-24
The Journal of Geometric Analysis,,,1050-6926,1559-002X,https://link.springer.com/journal/12220,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Headache and Pain,,,1129-2369,1129-2377,https://link.springer.com/journal/10194,Springer Nature,Springer,No,,,2024-01-24
The Journal of Membrane Biology,,,0022-2631,1432-1424,https://link.springer.com/journal/232,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Obstetrics and Gynecology of India,,,0971-9202,0975-6434,https://link.springer.com/journal/13224,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Physiological Sciences,,,1880-6546,1880-6562,https://link.springer.com/journal/12576,Springer Nature,BioMed Central,No,,,2024-01-24
The Journal of Prevention of Alzheimer's Disease,,,,2426-0266,https://link.springer.com/journal/42414,Springer Nature,Serdi-Editions,Yes,,,2024-01-24
The Journal of Real Estate Finance and Economics,,,0895-5638,1573-045X,https://link.springer.com/journal/11146,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Supercomputing,,,0920-8542,1573-0484,https://link.springer.com/journal/11227,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Technology Transfer,,,0892-9912,1573-7047,https://link.springer.com/journal/10961,Springer Nature,Springer,Yes,,,2024-01-24
The Journal of Value Inquiry,,,0022-5363,1573-0492,https://link.springer.com/journal/10790,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Academic Ethics,,,1570-1727,1572-8544,https://link.springer.com/journal/10805,Springer Nature,Springer,Yes,,,2024-01-24
Journal of the Academy of Marketing Science,,,0092-0703,1552-7824,https://link.springer.com/journal/11747,Springer Nature,Springer,Yes,,,2024-01-24
"Journal of Activity, Sedentary and Sleep Behaviors",,,,2731-4391,https://link.springer.com/journal/44167,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Acupuncture and Tuina Science,,,1672-3597,1993-0399,https://link.springer.com/journal/11726,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Adult Development,,,1068-0667,1573-3440,https://link.springer.com/journal/10804,Springer Nature,Springer,Yes,,,2024-01-24
Journal of African American Studies,,,1559-1646,1936-4741,https://link.springer.com/journal/12111,Springer Nature,Springer,Yes,,,2024-01-24
"Journal of Agricultural, Biological and Environmental Statistics",,,1085-7117,1537-2693,https://link.springer.com/journal/13253,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Agricultural and Environmental Ethics,,,1187-7863,1573-322X,https://link.springer.com/journal/10806,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Algebraic Combinatorics,,,0925-9899,1572-9192,https://link.springer.com/journal/10801,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Ambient Intelligence and Humanized Computing,,,1868-5137,1868-5145,https://link.springer.com/journal/12652,Springer Nature,Springer,Yes,,,2024-01-24
Journal d'Analyse Mathématique,,,0021-7670,1565-8538,https://link.springer.com/journal/11854,Springer Nature,Hebrew University Magnes Press,Yes,,,2024-01-24
Journal of Analysis and Testing,,,2096-241X,2509-4696,https://link.springer.com/journal/41664,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Analytical Chemistry,,,1061-9348,1608-3199,https://link.springer.com/journal/10809,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Analytical Science and Technology,,,,2093-3371,https://link.springer.com/journal/40543,Springer Nature,Springer,No,,,2024-01-24
Journal of Anesthesia,,,0913-8668,1438-8359,https://link.springer.com/journal/540,Springer Nature,Springer,Yes,,,2024-01-24
"Journal of Anesthesia, Analgesia and Critical Care",,,,2731-3786,https://link.springer.com/journal/44158,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Animal Science and Biotechnology,,,,2049-1891,https://link.springer.com/journal/40104,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Applied and Computational Topology,,,2367-1726,2367-1734,https://link.springer.com/journal/41468,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Applied and Industrial Mathematics,,,1990-4789,1990-4797,https://link.springer.com/journal/11754,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Applied Electrochemistry,,,0021-891X,1572-8838,https://link.springer.com/journal/10800,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Applied Genetics,,,1234-1983,2190-3883,https://link.springer.com/journal/13353,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Applied Mathematics and Computing,,,1598-5865,1865-2085,https://link.springer.com/journal/12190,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Applied Mechanics and Technical Physics,,,0021-8944,1573-8620,https://link.springer.com/journal/10808,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Applied Phycology,,,0921-8971,1573-5176,https://link.springer.com/journal/10811,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Applied Spectroscopy,,,0021-9037,1573-8647,https://link.springer.com/journal/10812,Springer Nature,Springer,No,,,2024-01-24
Journal of Applied Volcanology,,,,2191-5040,https://link.springer.com/journal/13617,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Applied Youth Studies,,,2204-9193,2204-9207,https://link.springer.com/journal/43151,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Archaeological Method and Theory,,,1072-5369,1573-7764,https://link.springer.com/journal/10816,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Archaeological Research,,,1059-0161,1573-7756,https://link.springer.com/journal/10814,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Arid Land,,,1674-6767,2194-7783,https://link.springer.com/journal/40333,Springer Nature,"Science Press, co-published with Springer",Yes,,,2024-01-24
Journal of Artificial Organs,,,1434-7229,1619-0904,https://link.springer.com/journal/10047,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Asset Management,,,1470-8272,1479-179X,https://link.springer.com/journal/41260,Springer Nature,Palgrave Macmillan,Yes,,,2024-01-24
Journal of Assisted Reproduction and Genetics,,,1058-0468,1573-7330,https://link.springer.com/journal/10815,Springer Nature,Springer,Yes,,,2024-01-24
Journal of the Association for Research in Otolaryngology,,,1525-3961,1438-7573,https://link.springer.com/journal/10162,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Astrophysics and Astronomy,,,0250-6335,0973-7758,https://link.springer.com/journal/12036,Springer Nature,Springer,No,,,2024-01-24
Journal of Atmospheric Chemistry,,,0167-7764,1573-0662,https://link.springer.com/journal/10874,Springer Nature,Springer,Yes,,,2024-01-24
Journal of the Australian Ceramic Society,,,2510-1560,2510-1579,https://link.springer.com/journal/41779,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Autism and Developmental Disorders,,,0162-3257,1573-3432,https://link.springer.com/journal/10803,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Automated Reasoning,,,0168-7433,1573-0670,https://link.springer.com/journal/10817,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Banking and Financial Technology,,,2524-7956,2524-7964,https://link.springer.com/journal/42786,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Banking Regulation,,,1745-6452,1750-2071,https://link.springer.com/journal/41261,Springer Nature,Palgrave Macmillan,Yes,,,2024-01-24
Journal of Behavioral Education,,,1053-0819,1573-3513,https://link.springer.com/journal/10864,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Behavioral Medicine,,,0160-7715,1573-3521,https://link.springer.com/journal/10865,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Big Data,,,,2196-1115,https://link.springer.com/journal/40537,Springer Nature,Springer,No,,,2024-01-24
Journal of Bio- and Tribo-Corrosion,,,2198-4220,2198-4239,https://link.springer.com/journal/40735,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Bioenergetics and Biomembranes,,,0145-479X,1573-6881,https://link.springer.com/journal/10863,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Bioethical Inquiry,,,1176-7529,1872-4353,https://link.springer.com/journal/11673,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Biological Engineering,,,,1754-1611,https://link.springer.com/journal/13036,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Biological Physics,,,0092-0606,1573-0689,https://link.springer.com/journal/10867,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Biomedical Science,,,,1423-0127,https://link.springer.com/journal/12929,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Biomedical Semantics,,,,2041-1480,https://link.springer.com/journal/13326,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Biomolecular NMR,,,0925-2738,1573-5001,https://link.springer.com/journal/10858,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Bionic Engineering,,,1672-6529,2543-2141,https://link.springer.com/journal/42235,Springer Nature,"Science Press, co-published with Springer",Yes,,,2024-01-24
Journal of Biosciences,,,0250-5991,0973-7138,https://link.springer.com/journal/12038,Springer Nature,Springer,No,,,2024-01-24
Journal of Biosystems Engineering,,,1738-1266,2234-1862,https://link.springer.com/journal/42853,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Bone and Mineral Metabolism,,,0914-8779,1435-5604,https://link.springer.com/journal/774,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Brand Management,,,1350-231X,1479-1803,https://link.springer.com/journal/41262,Springer Nature,Palgrave Macmillan,Yes,,,2024-01-24
Journal of the Brazilian Society of Mechanical Sciences and Engineering,,,1678-5878,1806-3691,https://link.springer.com/journal/40430,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Building Pathology and Rehabilitation,,,2365-3159,2365-3167,https://link.springer.com/journal/41024,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Business and Psychology,,,0889-3268,1573-353X,https://link.springer.com/journal/10869,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Business Cycle Research,,,2509-7962,2509-7970,https://link.springer.com/journal/41549,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Business Economics,,,0044-2372,1861-8928,https://link.springer.com/journal/11573,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Business Ethics,,,0167-4544,1573-0697,https://link.springer.com/journal/10551,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cancer Education,,,0885-8195,1543-0154,https://link.springer.com/journal/13187,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cancer Research and Clinical Oncology,,,0171-5216,1432-1335,https://link.springer.com/journal/432,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cancer Survivorship,,,1932-2259,1932-2267,https://link.springer.com/journal/11764,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cannabis Research,,,,2522-5782,https://link.springer.com/journal/42238,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Cardiothoracic Surgery,,,,1749-8090,https://link.springer.com/journal/13019,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Cardiovascular Translational Research,,,1937-5387,1937-5395,https://link.springer.com/journal/12265,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Central South University,,,2095-2899,2227-5223,https://link.springer.com/journal/11771,Springer Nature,"Central South University, co-published with Springer",Yes,,,2024-01-24
Journal of Chemical Crystallography,,,1074-1542,1572-8854,https://link.springer.com/journal/10870,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Chemical Ecology,,,0098-0331,1573-1561,https://link.springer.com/journal/10886,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Chemical Sciences,,,0974-3626,0973-7103,https://link.springer.com/journal/12039,Springer Nature,Springer,No,,,2024-01-24
Journal of Cheminformatics,,,,1758-2946,https://link.springer.com/journal/13321,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Child & Adolescent Trauma,,,1936-1521,1936-153X,https://link.springer.com/journal/40653,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Child and Family Studies,,,1062-1024,1573-2843,https://link.springer.com/journal/10826,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Chinese Political Science,,,1080-6954,1874-6357,https://link.springer.com/journal/11366,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Civil Structural Health Monitoring,,,2190-5452,2190-5479,https://link.springer.com/journal/13349,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Classification,,,0176-4268,1432-1343,https://link.springer.com/journal/357,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Clinical Immunology,,,0271-9142,1573-2592,https://link.springer.com/journal/10875,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Clinical Monitoring and Computing,,,1387-1307,1573-2614,https://link.springer.com/journal/10877,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Clinical Psychology in Medical Settings,,,1068-9583,1573-3572,https://link.springer.com/journal/10880,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cloud Computing,,,,2192-113X,https://link.springer.com/journal/13677,Springer Nature,Springer,No,,,2024-01-24
Journal of Cluster Science,,,1040-7278,1572-8862,https://link.springer.com/journal/10876,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Coastal Conservation,,,1400-0350,1874-7841,https://link.springer.com/journal/11852,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Coatings Technology and Research,,,1547-0091,1935-3804,https://link.springer.com/journal/11998,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cognitive Enhancement,,,2509-3290,2509-3304,https://link.springer.com/journal/41465,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Combinatorial Optimization,,,1382-6905,1573-2886,https://link.springer.com/journal/10878,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Communications Technology and Electronics,,,1064-2269,1555-6557,https://link.springer.com/journal/11487,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Community Genetics,,,1868-310X,1868-6001,https://link.springer.com/journal/12687,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Community Health,,,0094-5145,1573-3610,https://link.springer.com/journal/10900,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Comparative Physiology A,,,0340-7594,1432-1351,https://link.springer.com/journal/359,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Comparative Physiology B,,,0174-1578,1432-136X,https://link.springer.com/journal/360,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computational Electronics,,,1569-8025,1572-8137,https://link.springer.com/journal/10825,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computational Neuroscience,,,0929-5313,1573-6873,https://link.springer.com/journal/10827,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computational Social Science,,,2432-2717,2432-2725,https://link.springer.com/journal/42001,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computer and Systems Sciences International,,,1064-2307,1555-6530,https://link.springer.com/journal/11488,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Computer Science and Technology,,,1000-9000,1860-4749,https://link.springer.com/journal/11390,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computer Virology and Hacking Techniques,,,,2263-8733,https://link.springer.com/journal/11416,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computer-Aided Molecular Design,,,0920-654X,1573-4951,https://link.springer.com/journal/10822,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computers in Education,,,2197-9987,2197-9995,https://link.springer.com/journal/40692,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Computing in Higher Education,,,1042-1726,1867-1233,https://link.springer.com/journal/12528,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Consumer Policy,,,0168-7034,1573-0700,https://link.springer.com/journal/10603,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Consumer Protection and Food Safety,,,1661-5751,1661-5867,https://link.springer.com/journal/3,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Contemporary Mathematical Analysis (Armenian Academy of Sciences),,,1068-3623,1934-9416,https://link.springer.com/journal/11957,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Contemporary Physics (Armenian Academy of Sciences),,,1068-3372,1934-9378,https://link.springer.com/journal/11958,Springer Nature,Pleiades Publishing,No,,,2024-01-24
Journal of Contemporary Psychotherapy,,,0022-0116,1573-3564,https://link.springer.com/journal/10879,Springer Nature,Springer,Yes,,,2024-01-24
"Journal of Control, Automation and Electrical Systems",,,2195-3880,2195-3899,https://link.springer.com/journal/40313,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cotton Research,,,,2523-3254,https://link.springer.com/journal/42397,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Crop Science and Biotechnology,,,1975-9479,2005-8276,https://link.springer.com/journal/12892,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cross-Cultural Gerontology,,,0169-3816,1573-0719,https://link.springer.com/journal/10823,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cryptographic Engineering,,,2190-8508,2190-8516,https://link.springer.com/journal/13389,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cryptology,,,0933-2790,1432-1378,https://link.springer.com/journal/145,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cultural Cognitive Science,,,2520-100X,2520-1018,https://link.springer.com/journal/41809,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Cultural Economics,,,0885-2545,1573-6997,https://link.springer.com/journal/10824,Springer Nature,Springer,Yes,,,2024-01-24
"Journal of Data, Information and Management",,,2524-6356,2524-6364,https://link.springer.com/journal/42488,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Developmental and Life-Course Criminology,,,2199-4641,2199-465X,https://link.springer.com/journal/40865,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Developmental and Physical Disabilities,,,1056-263X,1573-3580,https://link.springer.com/journal/10882,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Dharma Studies,,,2522-0926,2522-0934,https://link.springer.com/journal/42240,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Diabetes & Metabolic Disorders,,,,2251-6581,https://link.springer.com/journal/40200,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Imaging Informatics in Medicine,,,2948-2925,2948-2933,https://link.springer.com/journal/10278,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Dynamic Behavior of Materials,,,2199-7446,2199-7454,https://link.springer.com/journal/40870,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Dynamical and Control Systems,,,1079-2724,1573-8698,https://link.springer.com/journal/10883,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Dynamics and Differential Equations,,,1040-7294,1572-9222,https://link.springer.com/journal/10884,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Earth Science,,,1674-487X,1867-111X,https://link.springer.com/journal/12583,Springer Nature,"China University of Geosciences, co-published with Springer",Yes,,,2024-01-24
Journal of Earth System Science,,,2347-4327,0973-774X,https://link.springer.com/journal/12040,Springer Nature,Springer,No,,,2024-01-24
Journal of East Asian Linguistics,,,0925-8558,1572-8560,https://link.springer.com/journal/10831,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Eating Disorders,,,,2050-2974,https://link.springer.com/journal/40337,Springer Nature,BioMed Central,No,,,2024-01-24
Journal of Echocardiography,,,1349-0222,1880-344X,https://link.springer.com/journal/12574,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Economic Growth,,,1381-4338,1573-7020,https://link.springer.com/journal/10887,Springer Nature,Springer,Yes,,,2024-01-24
Journal of Economic Interaction and Coordination,,,1860-711X,1860-7128,https://link.springer.com/journal/11403,Springer Nature,Springer,Yes,,,2024-01-24
